Name | Description | Default Value | Flags
citadel_camera_soft_collision_avoidance_bias | Experimental: Soft camera collision avoidance bias. &gt; 1 pull camera in more aggressively in response to gaussian weighted samples. &lt; 1 Not recommended | 5.75 | devonly, cl
citadel_camera_soft_collision_debug | Show debug drawing of all soft collision caches each time they're executed. | 0 | devonly, cl
citadel_camera_soft_collision_gausian_bias | Experimental: Soft camera collision sample bias. &lt; 1 distance samples at the edge of the cone angle contribute more to the weight. &gt; 1 rely more on the central camera direction's distance sample. | 2 | devonly, cl
citadel_camera_soft_collision_max_sensor_range | Experimental: the range of the traces can be constrained to this value if the distance between target camera position and parrot cam position is very large | 110 | devonly, cl
citadel_camera_soft_collision_multi_thread | Experimental: Use Multithreaded implementation. 0: Use regular style. &gt; 0 number of jobs to chunk the 128 traces into. Power of 2 only, please. 8 is great. | 8 | devonly, cl
citadel_camera_soft_collision_xy_scale | Experimental: Shrink the length of the traces in the XY axis so that going into doorways is less affected by the soft collision system. | 0.75 | devonly, cl
citadel_camera_spectator_auto_target_view | Spectator camera automatically try to match target view after no input for sometime | true | devonly, cl
citadel_camera_spectator_dist | How far back the spectator camera should be | 200 | devonly, cl
citadel_camera_spectator_fov | The field of view angle of the camera when a spectator. | 90 | devonly, cl
citadel_camera_spectator_pitch | How much to adjust view pitch when spectating a target | 15 | devonly, cl
citadel_camera_use_vmdl_far_pose | Selectively skip "Far" poses | true | devonly, cl
citadel_camera_use_vmdl_flatten_horizontal | For each camera pose set, use the average of X positions. This is a motion sickness reducing action. | true | devonly, cl
citadel_camera_use_vmdl_flatten_vertical | Zero the relative Z axis of the camera to reduce motion sickness. | true | devonly, cl
citadel_camera_use_vmdl_gunaim_pose | Selectively skip "Gun Aim" poses | true | devonly, cl
citadel_camera_use_vmdl_near_pose | Selectively skip "Near" poses | true | devonly, cl
citadel_camera_wobble_always |  | false | devonly, cl
citadel_camera_wobble_angle_scale |  | 1 | devonly, cl
citadel_camera_wobble_disable |  | false | devonly, cl
citadel_camera_wobble_pitch_exponent |  | 2 | devonly, cl
citadel_camera_wobble_position_scale |  | 1 | devonly, cl
citadel_camera_wobble_yaw_exponent |  | 2 | devonly, cl
citadel_cant_pause_display_duration | How long do we show the can't pause/unpause dialog. | 2 | devonly, cl
citadel_chat_fade_time |  | 10 | devonly, cl
citadel_chat_fade_time_extension |  | 7 | devonly, cl
citadel_clamp_mouse_when_using_ping_wheel |  | true | devonly, cl
citadel_client_mm_ignore_engine_version | Ignore the engine version number for matchmaking. Useful for testing locally in release. | false | devonly, cl
citadel_client_solo_mm_keep_alive_check_s | Number of seconds between checking to make sure that the client is still in MM | 45 | devonly, cl
citadel_client_status_cycle_delay |  | 4 | devonly, cl
citadel_commend_toast_enemy_seconds | Number of seconds to show enemy commend toasts | 4 | devonly, cl
citadel_commend_toast_seconds | Number of seconds to show commend toasts | 30 | devonly, cl
citadel_cone_view_alpha |  | 80 | devonly, cl
citadel_context_profile_page |  | true | devonly, cl
citadel_crate_disable_early_spawn |  |  | 
citadel_crate_early_spawn_delay |  |  | 
citadel_crate_early_to_trooper_spawn_delay |  |  | 
citadel_crosshair_clip_angle |  | 90 | devonly, cl
citadel_crosshair_clip_bullet_gap |  | 0.5 | devonly, cl
citadel_crosshair_clip_offset_angle |  | 180 | devonly, cl
citadel_crosshair_color_b |  | 255 | cl, a
citadel_crosshair_color_g |  | 255 | cl, a
citadel_crosshair_color_r |  | 255 | cl, a
citadel_crosshair_disable_hero_specific_crosshairs |  | false | cl, a
citadel_crosshair_dot_opacity |  | 0.7 | cl, a
citadel_crosshair_dot_outline_border |  | 2 | cl, a
citadel_crosshair_dot_outline_gap |  | 0 | cl, a
citadel_crosshair_dot_outline_opacity |  | 0.7 | cl, a
citadel_crosshair_dot_size |  | 4 | cl, a
citadel_crosshair_hit_marker_duration |  | 0.1 | cl, a
citadel_crosshair_outline_color_b |  | 0 | cl, a
citadel_crosshair_outline_color_g |  | 0 | cl, a
citadel_crosshair_outline_color_r |  | 0 | cl, a
citadel_crosshair_pip_gap |  | 4 | cl, a
citadel_crosshair_pip_gap_static |  | false | cl, a
citadel_crosshair_pip_height |  | 16 | cl, a
citadel_crosshair_pip_opacity |  | 0.5 | cl, a
citadel_crosshair_pip_outline_border |  | 1 | cl, a
citadel_crosshair_pip_outline_gap |  | 0 | cl, a
citadel_crosshair_pip_outline_opacity |  | 0.7 | cl, a
citadel_crosshair_pip_width |  | 2 | cl, a
citadel_damage_indicator_enemy_display_time |  | 2 | devonly, cl
citadel_damage_indicator_height |  | 120 | devonly, cl
citadel_damage_indicator_radius |  | 300 | devonly, cl
citadel_damage_indicator_width |  | 120 | devonly, cl
citadel_damage_offscreen_indicator_disabled |  | true | cl, release
citadel_damage_radar_enemy_display_time |  | 2 | devonly, cl
citadel_damage_report_enable | If enabled, show damage report | true | devonly, cl
citadel_damage_report_show_adjusted_percent_min | Hide buffed/resisted damage if it's below this percentage of change | 3 | devonly, cl
citadel_damage_report_show_always | If enabled, always show damage report, not just on alt. | false | devonly, cl, a
citadel_damage_summary_max_entries |  | 8 | devonly, cl
citadel_damage_summary_show_time |  | 12 | devonly, cl
citadel_damage_text_batching_window_ability | When ability damage events are within this amount of time of each other, they will be added together into a single entry. | 1.05 | devonly, cl
citadel_damage_text_batching_window_bullet | When bullet damage events are within this amount of time of each other, they will be added together into a single entry. | 1.5 | devonly, cl
citadel_damage_text_batching_window_cumulative | When cumulative damage events are within this amount of time of each other, they will be added together into a single entry. | 1.5 | devonly, cl
citadel_damage_text_batching_window_pure | When pure damage events are within this amount of time of each other, they will be added together into a single entry. | 1.05 | devonly, cl
citadel_damage_text_distance_far | Far distances at which we use far offsets for damage numbers | 4000 | devonly, cl
citadel_damage_text_distance_near | Near distance at which we use the near offsets for damage numbers | 100 | devonly, cl
citadel_damage_text_height_offset_far | How much to offset damage numbers above when far from the camera | 200 | devonly, cl
citadel_damage_text_height_offset_near | How much to offset damage numbers above when near from the camera | 130 | devonly, cl
citadel_damage_text_lifetime | How long do numbers live. | 1.5 | devonly, cl
citadel_damage_text_lifetime_new | How long do accumulated numbers live. | 1.5 | devonly, cl
citadel_damage_text_new_ability_offset_x |  | -20 | devonly, cl
citadel_damage_text_new_ability_offset_y |  | -25 | devonly, cl
citadel_damage_text_new_bullet_offset_x |  | 35 | devonly, cl
citadel_damage_text_new_bullet_offset_y |  | -25 | devonly, cl
citadel_damage_text_new_melee_offset_x |  | 20 | devonly, cl
citadel_damage_text_new_melee_offset_y |  | -60 | devonly, cl
citadel_damage_text_new_pure_offset_x |  | -20 | devonly, cl
citadel_damage_text_new_pure_offset_y |  | -60 | devonly, cl
citadel_damage_text_new_x_offset | How much to offset damage numbers left | 15 | devonly, cl
citadel_damage_text_show_effectiveness | Show the damage effectiveness on every damage number | false | devonly, cl
citadel_damage_text_spacing | Spacing between floating damage numbers. | 20 | devonly, cl
citadel_damage_text_x_offset_far | How much to offset damage numbers left and right when far from the camera | 0 | devonly, cl
citadel_damage_text_x_offset_near | How much to offset damage numbers left and right when near the camera | 0 | devonly, cl
citadel_dead_zone_radius |  | 0.05 | devonly, cl
citadel_dead_zone_radius_instant_wheel |  | 0.1 | devonly, cl
citadel_debug_draw_hero_position_on_screen |  | false | devonly, cl
citadel_debug_draw_move_down_ziplines |  | false | devonly, cl
citadel_debug_draw_move_down_ziplines_numprobes |  | 10 | devonly, cl
citadel_debug_draw_move_down_ziplines_speed |  | 50 | devonly, cl
citadel_debug_draw_move_down_ziplines_starting_node_offset |  | 0 | devonly, cl
citadel_debug_glyph_paths |  | false | devonly, cl
citadel_default_minimap_icon_radius |  | 18 | devonly, cl
citadel_demo_highlight_seconds_after | How many seconds after the highlight event to show when viewing highlights. | 2 | cl, release
citadel_demo_highlight_seconds_before | How many seconds before the highlight event to show when viewing highlights. | 6 | cl, release
citadel_demo_movie_preload_ticks | How many ticks of demo playback before we activate movie recording. | 2 | cl, release
citadel_deny_text_height_offset | How much higher should deny text show up. | 35 | devonly, cl
citadel_deny_text_max_distance | How far away before we stop showing in world deny events. | 4000 | cl, a
citadel_dev_book_force_unlocked |  | false | devonly, cl
citadel_dev_discord_link |  | false | devonly, cl
citadel_dev_simulate_mm_response | Allows for forcing MM to act like it returned the specified error for UI testing | -1 | devonly, cl
citadel_disable_quick_response | Turns quick response to ping messages off. | true | devonly, cl
citadel_display_new_player_recommendations | Do we want to show the decorations for new player friendly heroes? | true | cl, release
citadel_distance_mouse_move_for_minimap_drawing |  | 15 | cl, release
citadel_dump_keybindings |  | false | devonly, cl
citadel_enable_double_ping | Turns off the ability to have aggressive and passive pings. | true | devonly, cl
citadel_enable_new_ping_particle | Convar to test new ping particle | false | devonly, cl
citadel_enable_parties | Enable client side party UI | true | devonly, cl
citadel_enable_survey | Kill switch in case we want to make sure the survey isn't shown, or temporarily disable it | true | devonly, cl
citadel_enable_vdata_sound_preload |  | true | devonly, cl
citadel_english_hero_names |  | false | cl, a
citadel_english_mod_names |  | false | cl, a
citadel_event_collection_delay_s | Number of seconds to buffer events before an initial send | 1 | devonly, cl
citadel_event_collection_retry_s | Number of seconds to wait for a retry of events | 1 | devonly, cl
citadel_event_indicator_distance_extremely_far |  | 3000 | devonly, cl
citadel_event_indicator_distance_far |  | 1000 | devonly, cl
citadel_event_indicator_distance_normal |  | 300 | devonly, cl
citadel_event_indicator_distance_very_far |  | 2000 | devonly, cl
citadel_event_indicator_dps_percent_high |  | 0.5 | devonly, cl
